session_id,timestamp,dimension,stint_id
20260412_175523_fa92,2026-04-12 18:06:39,past,63
20260412_175523_fa92,2026-04-12 18:06:41,past,63
20260412_175523_fa92,2026-04-12 18:06:42,past,63
20260412_175523_fa92,2026-04-12 18:06:44,past,63
20260412_175523_fa92,2026-04-12 18:06:44,past,63
20260412_175523_fa92,2026-04-12 18:06:45,past,63
20260412_175523_fa92,2026-04-12 18:06:46,past,63
20260412_175523_fa92,2026-04-12 18:06:47,past,63
20260412_175523_fa92,2026-04-12 18:06:47,past,63
20260412_175523_fa92,2026-04-12 18:06:47,past,63
20260412_175523_fa92,2026-04-12 18:06:48,past,63
20260412_175523_fa92,2026-04-12 18:06:48,past,63
20260412_175523_fa92,2026-04-12 18:06:48,past,63
20260412_175523_fa92,2026-04-12 18:06:48,past,63
20260412_175523_fa92,2026-04-12 18:06:50,past,63
20260412_175523_fa92,2026-04-12 18:06:50,past,63
20260412_175523_fa92,2026-04-12 18:06:50,past,63
20260412_175523_fa92,2026-04-12 18:06:51,past,63
20260412_175523_fa92,2026-04-12 18:06:51,past,63
20260412_175523_fa92,2026-04-12 18:06:52,past,63
20260412_175523_fa92,2026-04-12 18:06:52,past,63
20260412_175523_fa92,2026-04-12 18:06:53,past,63
20260412_175523_fa92,2026-04-12 18:06:53,past,63
20260412_175523_fa92,2026-04-12 18:06:54,past,63
20260412_175523_fa92,2026-04-12 18:06:54,past,63
20260412_175523_fa92,2026-04-12 18:06:55,past,63
20260412_175523_fa92,2026-04-12 18:06:56,past,63
20260412_175523_fa92,2026-04-12 18:06:58,past,63
20260412_175523_fa92,2026-04-12 18:06:58,past,63
20260412_175523_fa92,2026-04-12 18:06:59,past,63
20260412_175523_fa92,2026-04-12 18:07:01,past,63
20260412_175523_fa92,2026-04-12 18:07:04,past,63
20260412_175523_fa92,2026-04-12 18:07:06,past,63
20260412_175523_fa92,2026-04-12 18:07:07,past,63
20260412_175523_fa92,2026-04-12 18:07:08,past,63
20260412_175523_fa92,2026-04-12 18:07:09,past,63
20260412_175523_fa92,2026-04-12 18:07:10,past,63
20260412_175523_fa92,2026-04-12 18:07:11,future,64
20260412_175523_fa92,2026-04-12 18:07:13,future,64
20260412_175523_fa92,2026-04-12 18:07:14,future,64
20260412_175523_fa92,2026-04-12 18:07:14,future,64
20260412_175523_fa92,2026-04-12 18:07:15,future,64
20260412_175523_fa92,2026-04-12 18:07:15,future,64
20260412_175523_fa92,2026-04-12 18:07:17,future,64
20260412_175523_fa92,2026-04-12 18:07:19,future,64
20260412_175523_fa92,2026-04-12 18:07:19,future,64
20260412_175523_fa92,2026-04-12 18:07:20,future,64
20260412_175523_fa92,2026-04-12 18:07:20,future,64
20260412_175523_fa92,2026-04-12 18:07:21,future,64
20260412_175523_fa92,2026-04-12 18:07:21,future,64
20260412_175523_fa92,2026-04-12 18:07:21,future,64
20260412_175523_fa92,2026-04-12 18:07:22,future,64
20260412_175523_fa92,2026-04-12 18:07:25,future,64
20260412_175523_fa92,2026-04-12 18:07:25,future,64
20260412_175523_fa92,2026-04-12 18:07:26,future,64
20260412_175523_fa92,2026-04-12 18:07:27,future,64
20260412_175523_fa92,2026-04-12 18:07:28,present,65
20260412_175523_fa92,2026-04-12 18:07:29,past,66
20260412_175523_fa92,2026-04-12 18:07:30,past,66
20260412_175523_fa92,2026-04-12 18:07:30,past,66
20260412_175523_fa92,2026-04-12 18:07:31,past,66
20260412_175523_fa92,2026-04-12 18:07:32,past,66
20260412_175523_fa92,2026-04-12 18:07:32,past,66
20260412_175523_fa92,2026-04-12 18:07:33,past,66
20260412_175523_fa92,2026-04-12 18:07:33,past,66
20260412_175523_fa92,2026-04-12 18:07:34,past,66
20260412_175523_fa92,2026-04-12 18:07:35,past,66
20260412_175523_fa92,2026-04-12 18:07:36,past,66
20260412_175523_fa92,2026-04-12 18:07:37,past,66
20260412_175523_fa92,2026-04-12 18:07:38,present,67
20260412_175523_fa92,2026-04-12 18:07:38,present,67
20260412_175523_fa92,2026-04-12 18:07:40,present,67
20260412_175523_fa92,2026-04-12 18:07:41,future,68
20260412_175523_fa92,2026-04-12 18:07:42,past,69
20260412_175523_fa92,2026-04-12 18:07:43,past,69
20260412_175523_fa92,2026-04-12 18:07:44,past,69
20260412_175523_fa92,2026-04-12 18:07:45,past,69
20260412_175523_fa92,2026-04-12 18:07:45,present,70
20260412_175523_fa92,2026-04-12 18:07:46,present,70
20260412_175523_fa92,2026-04-12 18:07:47,present,70
20260412_175523_fa92,2026-04-12 18:07:48,future,71
20260412_175523_fa92,2026-04-12 18:07:48,future,71
20260412_175523_fa92,2026-04-12 18:07:49,future,71
20260412_175523_fa92,2026-04-12 18:07:50,future,71
20260412_175523_fa92,2026-04-12 18:07:52,future,71
20260412_175523_fa92,2026-04-12 18:07:53,future,71
20260412_175523_fa92,2026-04-12 18:07:55,future,71
20260412_175523_fa92,2026-04-12 18:07:56,future,71
20260412_175523_fa92,2026-04-12 18:07:56,future,71
20260412_175523_fa92,2026-04-12 18:07:57,future,71
20260412_175523_fa92,2026-04-12 18:07:58,future,71
20260412_175523_fa92,2026-04-12 18:07:58,future,71
20260412_175523_fa92,2026-04-12 18:07:58,future,71
20260412_175523_fa92,2026-04-12 18:07:59,future,71
20260412_175523_fa92,2026-04-12 18:07:59,future,71
20260412_175523_fa92,2026-04-12 18:08:00,future,71
20260412_175523_fa92,2026-04-12 18:08:00,future,71
20260412_175523_fa92,2026-04-12 18:08:00,future,71
20260412_175523_fa92,2026-04-12 18:08:00,future,71
20260412_175523_fa92,2026-04-12 18:08:00,future,71
20260412_175523_fa92,2026-04-12 18:08:01,future,71
20260412_175523_fa92,2026-04-12 18:08:02,future,71
20260412_175523_fa92,2026-04-12 18:08:03,future,71
20260412_175523_fa92,2026-04-12 18:08:03,present,72
20260412_175523_fa92,2026-04-12 18:08:04,present,72
20260412_175523_fa92,2026-04-12 18:08:05,present,72
20260412_175523_fa92,2026-04-12 18:08:06,present,72
20260412_175523_fa92,2026-04-12 18:08:06,present,72
20260412_175523_fa92,2026-04-12 18:08:10,present,72
20260412_175523_fa92,2026-04-12 18:08:11,present,72
20260412_175523_fa92,2026-04-12 18:08:12,present,72
20260412_175523_fa92,2026-04-12 18:08:13,present,72
20260412_175523_fa92,2026-04-12 18:08:14,present,72
20260412_175523_fa92,2026-04-12 18:08:16,present,72
20260412_175523_fa92,2026-04-12 18:08:18,present,72
20260412_175523_fa92,2026-04-12 18:08:18,past,73
20260412_175523_fa92,2026-04-12 18:08:20,past,73
20260412_175523_fa92,2026-04-12 18:08:20,past,73
20260412_175523_fa92,2026-04-12 18:08:21,past,73
20260412_175523_fa92,2026-04-12 18:08:21,past,73
20260412_175523_fa92,2026-04-12 18:08:22,past,73
20260412_175523_fa92,2026-04-12 18:08:22,past,73
20260412_175523_fa92,2026-04-12 18:08:22,past,73
20260412_175523_fa92,2026-04-12 18:08:23,past,73
20260412_175523_fa92,2026-04-12 18:08:23,past,73
20260412_175523_fa92,2026-04-12 18:08:24,past,73
20260412_175523_fa92,2026-04-12 18:08:25,past,73
20260412_175523_fa92,2026-04-12 18:08:25,past,73
20260412_175523_fa92,2026-04-12 18:08:25,past,73
20260412_175523_fa92,2026-04-12 18:08:25,past,73
20260412_175523_fa92,2026-04-12 18:08:26,past,73
20260412_175523_fa92,2026-04-12 18:08:27,past,73
20260412_175523_fa92,2026-04-12 18:08:29,past,73
20260412_175523_fa92,2026-04-12 18:08:30,past,73
20260412_175523_fa92,2026-04-12 18:08:30,past,73
20260412_175523_fa92,2026-04-12 18:08:31,past,73
20260412_175523_fa92,2026-04-12 18:08:32,past,73
20260412_175523_fa92,2026-04-12 18:08:32,past,73
20260412_175523_fa92,2026-04-12 18:08:33,past,73
20260412_175523_fa92,2026-04-12 18:08:35,past,73
20260412_175523_fa92,2026-04-12 18:08:35,past,73
20260412_175523_fa92,2026-04-12 18:08:36,past,73
20260412_175523_fa92,2026-04-12 18:08:36,past,73
20260412_175523_fa92,2026-04-12 18:08:37,past,73
20260412_175523_fa92,2026-04-12 18:08:37,past,73
20260412_175523_fa92,2026-04-12 18:08:38,past,73
20260412_175523_fa92,2026-04-12 18:08:39,past,73
20260412_175523_fa92,2026-04-12 18:08:40,past,73
20260412_175523_fa92,2026-04-12 18:08:40,past,73
20260412_175523_fa92,2026-04-12 18:08:41,past,73
20260412_175523_fa92,2026-04-12 18:08:41,past,73
20260412_175523_fa92,2026-04-12 18:08:43,past,73
20260412_175523_fa92,2026-04-12 18:08:43,past,73
20260412_175523_fa92,2026-04-12 18:08:44,present,74
20260412_175523_fa92,2026-04-12 18:08:45,present,74
20260412_175523_fa92,2026-04-12 18:08:46,present,74
20260412_175523_fa92,2026-04-12 18:08:46,future,75
