session_id,timestamp,click_x,click_y,zone,dimension
20260412_175523_fa92,2026-04-12 18:06:47,443,527,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:47,403,245,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:48,408,274,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:48,412,285,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:48,412,286,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:48,412,286,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:50,414,363,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:50,625,392,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:50,732,373,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:51,744,335,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:51,527,401,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:52,712,302,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:52,740,295,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:53,512,408,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:53,354,534,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:54,731,306,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:54,747,314,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:55,646,98,Zone 5,past
20260412_175523_fa92,2026-04-12 18:06:56,439,539,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:58,418,413,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:58,418,413,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:59,418,413,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:01,418,413,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:04,665,127,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:06,214,540,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:07,383,410,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:08,691,143,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:09,676,138,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:10,252,548,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:11,725,27,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:13,409,445,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:14,480,440,Zone 1,future
